Hybrid ; PSPOH-301000020
maxLoad ; 100
step ; 100
minLoad ; 0
SupStep ; 1
SupMin ; 109
SupMax ; 110

Supply ; INIT
CH 1: V ; 3.501
 CH 1: A ; 0.1448
CH 2: V ; 4.999
CH 2: A ; 0.0254
CH 3: V ; 3.3
CH 3: A ; 0.2
CH 4: V ; 11
 CH 4: A ; 0.0048
Started computation at ; Wed Feb 16 11:43:35 2022

header-end ; 0


SET:VIN ; 11
HIV ; ON
CH1: V ; 3.5
CH1: A ; 0.1448
CH2: V ; 5.001
CH2: A ; 0.0254
CH3: V ; 3.3
CH3: A ; 0.1764
CH4: V ; 11
CH4: A ; 0.0048
SET:LOAD ; 0

LOAD_1v25L ; 0
LOAD_1v25R ; 0
LOAD_1v25T ; 0
LOAD_1vL ; 0
LOAD_1vR ; 0

V_HIV ; 10.9601
V_2v55 ; 2.62637
V_1v25_L ; 1.29343
V_1v25_R ; 1.29462
V_1v25_T ; 1.29442
V_1v_L ; 1.08156
V_1v_R ; 1.08202

C_HIV ; 0.1344
C_2v55 ; 0.0938
C_1v25_L ; 0.044
C_1v25_R ; 0.0320148
C_1v25_T ; 0.0457191
C_1v_L ; 0.0498390
C_1v_R ; 0.0392818

P_IN ; 1.47309
P_OUT ; 0.500318
EFF_% ; 33.9638

R_2v55 ; 4.11044
R_1v25 ; 38.2959
R_1V ; 34.1341

T_PCB ; 30.0781
T_AMB ; 30.375
T_HYB ; 33.3173
T_PTAT ; 34.2031

PTAT_offset ; 1.15481
CH1: V ; 3.5
CH1: A ; 0.0095
CH2: V ; 5
CH2: A ; 0.0256
CH3: V ; 3.3
CH3: A ; 0.0635
CH4: V ; 11
CH4: A ; 0.1537
SET:LOAD ; 0.800000012

LOAD_1v25L ; 0.8
LOAD_1v25R ; 0.8
LOAD_1v25T ; 0.8
LOAD_1vL ; 0.8
LOAD_1vR ; 0.8

V_HIV ; 10.8417
V_2v55 ; 2.61438
V_1v25_L ; 1.24812
V_1v25_R ; 1.2559
V_1v25_T ; 1.25965
V_1v_L ; 1.05302
V_1v_R ; 1.04622

C_HIV ; 0.645956
C_2v55 ; 0.0936627
C_1v25_L ; 0.642042
C_1v25_R ; 0.633745
C_1v25_T ; 0.644732
C_1v_L ; 0.996151
C_1v_R ; 0.99

P_IN ; 7.00328
P_OUT ; 4.73899
EFF_% ; 67.6681

R_2v55 ; 1.17352
R_1v25 ; 1.27547
R_1V ; 0.689484

T_PCB ; 30.0234
T_AMB ; 30.4844
T_HYB ; 36.0694
T_PTAT ; 37.9265

PTAT_offset ; 1.15481
CH1: V ; 3.5
CH1: A ; 0.0095
CH2: V ; 5
CH2: A ; 0.0254
CH3: V ; 3.3
CH3: A ; 0.0635
CH4: V ; 11
CH4: A ; 0.6669
SET:LOAD ; 1

LOAD_1v25L ; 1
LOAD_1v25R ; 1
LOAD_1v25T ; 1
LOAD_1vL ; 1
LOAD_1vR ; 1

V_HIV ; 10.8027
V_2v55 ; 2.61118
V_1v25_L ; 1.23679
V_1v25_R ; 1.24622
V_1v25_T ; 1.25091
V_1v_L ; 1.04576
V_1v_R ; 1.0372

C_HIV ; 0.811037
C_2v55 ; 0.0936556
C_1v25_L ; 0.799398
C_1v25_R ; 0.791960
C_1v25_T ; 0.802088
C_1v_L ; 1.23599
C_1v_R ; 1.23098

P_IN ; 8.76139
P_OUT ; 5.79285
EFF_% ; 66.118

R_2v55 ; 1.06613
R_1v25 ; 1.32683
